track,score,date,race,ml odds rank,score rank,odds rank,claimed last rank,post position,last 3 purse adv,distance worked rank,days since last race rank,trainer jock combo rank,trainer jock combo adv,trainer jock roi rank,trainer jock roi adv,avg turn time rank,avg turn time adv,current race type,distance,distance difference,days since last race,last finish,surface,program number,horse name,trainer,jockey,impr decl finish,imprv decl speed,weight last race,weight,last purse rank,last purse adv,class difference,lifetime earnings rank,lifetime earnings adv,ml odds current race,off odds current race,speed last race rank,speed last race adv,win % rank,win % adv,avg earnings distance rank,avg earnings distance adv,in the money rank,in the money adv,horses beaten rank,horses beaten adv,best speed last 3 rank,best speed last 3 adv,avg speed last 3 rank,avg speed last 3 adv,best lifetime speed rank,best lifetime speed adv,best speed track rank,best speed track adv,best speed distance rank,best speed distance adv,avg 2 of 3 speed rank,avg 2 of 3 speed adv,win payoff,place payoff,show payoff,finish position
MTH,//9,20160704,4,1,1,2,,2,0,3,4,3,0,4,0,5,0,Mdn_Claimer,8.5,0,15,2,turf,1,POSTINO'S IDOL,EINHORN SKIP,GARCIA WILMER A,0,0,118,119,2,0,-1.46,1,2.7,2.5,2.7,3,0,0,0,2,0,2,0,1,1.8,2,0,2,0,2,0,1,1.4,4,0,2,0,7.4,3.4,2.2,1
MTH,//48,20160704,4,4,3,4,,1,0,1,1,3,0,1,1.4,3,0,Mdn_Claimer,8.5,0.5,36,8,turf,2,MELODICA,O'CONNELL KATHLEEN,JUAREZ NIK,0,0,118,119,2,0,-2.87,2,0,4,4.8,2,0,0,0,4,0,1,50,2,0,5,0,2,0,5,0,5,0,3,0,4,0,0,0,2.8,3
MTH,//500,20160704,5,3,5,3,,5,36.9,1,1,1,0,3,0,3,0,Allowance,6,1,135,8,dirt,5,HI HOLIDAY,ORSENO JOSEPH F,BRAVO J,0,0,116,115,2,0,-0.03,2,0,3.5,5.4,5,0,2,0,1,23.4,4,0,4,0,5,0,5,0,5,0,2,0,5,0,5,0,0,0,0,5
MTH,//8,20160704,5,2,2,2,,4,0,3,7,3,0,1,17.5,5,0,Allowance,6,0,35,2,dirt,4,BUSTIN OUT,SPINA CHARLES,FERRER J C,0,0,121,122,3,0,-4.72,3,0,3,2.1,2,0,3,0,2,0,1,26.4,3,0,1,0,3,0,2,0,1,11.8,1,0,3,0,6.2,3.6,2.2,1
MTH,//2,20160704,5,1,1,1,,3,0,3,9,4,0,3,0,1,1.5,Allowance,6,0,31,1,dirt,3,ZIPPITY ZOOM,RICE LINDA,LOPEZ PASCACIO,0,0,124,122,1,2.6,-2.89,1,11.5,2,0.9,1,3.3,1,4.8,3,0,2,0,1,5.9,1,0,1,5.5,2,0,3,0,1,0,2,0,0,0,2.1,3
MTH,//90,20160704,5,5,3,5,,2,0,2,6,1,0,2,0,2,0,Allowance,6,0,37,2,dirt,2,LITTLE CHERIE,DIBONA ROBERT S,COTTO P L JR,0,1,118,115,4,0,3.37,5,0,6,12,3,0,3,0,5,0,3,0,2,0,4,0,4,0,4,0,3,0,4,0,4,0,0,7,2.8,2
MTH,//192,20160704,5,4,4,4,,1,0,3,10,4,0,3,0,4,0,Allowance,6,1,24,4,dirt,1,SUN AND MOON,CANNIZZO DAVID A,JUAREZ NIK,0,0,120,120,5,0,-1.97,4,0,4,6,4,0,5,0,4,0,5,0,5,0,1,0,2,0,1,1.1,3,0,3,0,1,1.1,0,0,0,4
MTH,//450,20160704,6,3,5,4,,6,0,2,1,2,0,2,0,2,0,Allowance,8.5,0.5,113,7,turf,6,THINKING OF MOM,PLESA EDWARD JR,LOPEZ PASCACIO,0,0,121,120,3,0,-0.28,4,0,3.5,4.9,6,0,2,0,6,0,5,0,2,0,1,3.2,1,3.5,2,0,3,0,6,0,1,4.4,0,0,0,6
MTH,//16,20160704,6,1,3,1,,5,16.3,1,2,4,0,3,0,5,0,Allowance,8.5,0,86,5,turf,5,IROMEA,CLEMENT CHRISTOPHE,BRAVO J,2,0,121,120,1,35.3,-4.18,2,0,1.5,1.1,2,0,2,0,5,0,2,0,4,0,4,0,2,0,2,0,6,0,5,0,4,0,0,0,0,4
MTH,//120,20160704,6,4,4,2,,4,0,3,5,6,0,6,0,6,0,Allowance,8.5,0,44,4,turf,4,RACHEL WALL,MOTION H GRAHAM,JUAREZ NIK,0,2,120,120,2,0,-0.94,3,0,4.5,3.5,5,0,2,0,2,0,4,0,3,0,4,0,5,0,6,0,3,0,4,0,5,0,0,5,3.2,2
